word	part_of_speech	major	minor
독서	명사	삶	여가 활동
독선적01∙ 독선적02	관형사∙명사	인간	태도
독신	명사	인간	사람의 종류
독일	명사	개념	지역
독일어	명사	사회생활	말
독자03	명사	인간	사람의 종류
독자적01∙ 독자적02	관형사∙명사	인간	태도
독재	명사	정치와 행정	정치 및 행정 행위
독창성	명사	인간	능력
독창적01∙ 독창적02	관형사∙명사	인간	능력
돈01	명사	경제생활	경제 수단
돈가스	명사	식생활	음식
돈독하다	형용사	사회생활	사회 생활 상태
돌01/돌02	명사/의존명사	개념	시간
돌03	명사	자연	지표면 사물
돌려주다	동사	사회생활	사회 활동
돌리다02	동사	인간	신체 행위
돌멩이	명사	자연	지표면 사물
돌보다	동사	사회생활	사회 활동
돌보다	동사	사회생활	사회 활동
돌아다보다	동사	인간	신체 행위
돕다	동사	사회생활	사회 활동
동02	명사	개념	위치 및 방향
동02	명사	개념	위치 및 방향
동거	명사	삶	삶의 행위
동경02	명사	인간	인지 행위
동굴	명사	자연	지형
동그라미	명사	개념	모양
동그랗다	형용사	개념	모양
동남아	명사	개념	지역
동네	명사	주생활	주거 지역
동대문	명사	개념	지역
동등	명사	사회생활	사회 생활 상태
동료	명사	사회생활	인간관계
동맥	명사	인간	신체 내부 구성
동문01	명사	사회생활	인간관계
동문서답	명사	사회생활	언어 행위
동물	명사	동식물	동물류
동물원	명사	삶	여가 시설
동병상련	명사	인간	감정
동부	명사	개념	지역
동사02	명사	사회생활	말
동상02	명사	문화	미술
동생	명사	삶	친족 관계
동서남북	명사	개념	위치 및 방향
동시01	명사	개념	시간
동시통역	명사	사회생활	언어 행위
동안01	명사	개념	시간
동양	명사	개념	지역
동양인	명사	인간	사람의 종류
동요01	명사	인간	감정
동요02	명사	문화	음악
동적01∙ 동적02	관형사∙명사	개념	성질
동전	명사	경제생활	경제 수단
동정02	명사	인간	감정
동지02	명사	인간	사람의 종류
동질성	명사	인간	감정
동쪽	명사	개념	위치 및 방향
동참	명사	사회생활	사회 활동
동창회	명사	사회생활	사회 행사
동행	명사	사회생활	사회 활동
동향02	명사	개념	위치 및 방향
동호인	명사	사회생활	인간관계
동호회	명사	사회생활	사회 행사
돼지	명사	동식물	동물류
돼지고기	명사	식생활	식재료
되게	부사	개념	정도
되뇌다	동사	사회생활	언어 행위
되도록	부사	개념	정도
되돌아보다	동사	인간	인지 행위
되묻다	동사	사회생활	언어 행위
된소리	명사	사회생활	말
된장	명사	식생활	식재료
된장찌개	명사	식생활	음식
두01	관형사	개념	수
두근거리다	동사	인간	감각
두꺼비	명사	동식물	동물류
두껍다	형용사	개념	모양
두께	명사	개념	모양
두뇌	명사	인간	신체 부위
두뇌	명사	인간	신체 부위
두려움	명사	인간	감정
두려워하다	동사	인간	감정
두렵다	형용사	인간	감정
두루	부사	개념	모양
두리번거리다	동사	인간	신체 행위
두부	명사	식생활	식재료
두세	관형사	개념	수
두어	관형사	개념	수
두텁다	형용사	개념	모양
두통	명사	삶	병과 증상
두통약	명사	삶	약품류
두툼하다	형용사	개념	모양
둑	명사	자연	지형
둔하다	형용사	인간	감각
둘	수사	개념	수
둘러보다	동사	인간	신체 행위
둘레	명사	개념	모양
둘째02∙둘째01/둘째03	수사∙관형사/명사	개념	순서
둥그렇다	형용사	개념	모양
둥글다01	형용사	개념	모양
둥둥02	부사	개념	모양
뒤	명사	개념	위치 및 방향
뒤	명사	개념	시간
뒤돌아보다	동사	인간	신체 행위
뒤죽박죽	명사	개념	모양
뒤쪽	명사	개념	위치 및 방향
뒤척이다	동사	인간	신체 행위
뒤통수	명사	인간	신체 부위
뒤편	명사	개념	위치 및 방향
뒤풀이	명사	사회생활	사회 행사
뒷걸음	명사	인간	신체 행위
뒷골목	명사	개념	지역
뒷문	명사	주생활	주택 구성
뒷바라지	명사	사회생활	사회 활동
뒷전	명사	개념	순서
뒹굴다	동사	인간	신체 행위
드디어	부사	개념	시간
드라마	명사	사회생활	매체
드라이	명사	의생활	미용 행위
드라이브	명사	사회생활	교통 이용 행위
드라이어	명사	의생활	미용 행위
드라이클리닝	명사	주생활	가사 행위
드러눕다	동사	인간	신체 행위
드레스	명사	의생활	옷 종류
드리다01	동사	사회생활	사회 활동
드리다01	동사	사회생활	언어 행위
