word	part_of_speech	major	minor
소량	명사	개념	양
소름	명사	인간	감정
소리	명사	인간	감각
소리	명사	인간	감각
소리치다	동사	인간	신체 행위
소매01	명사	의생활	옷의 부분
소문	명사	사회생활	언어 행위
소문나다	동사	사회생활	언어 행위
소박하다01	형용사	인간	성격
소방관	명사	사회생활	직업
소방서	명사	정치와 행정	공공 기관
소방차	명사	사회생활	교통수단
소변	명사	인간	생리 현상
소비	명사	경제생활	경제 행위
소비량	명사	경제생활	경제 상태
소비자	명사	경제생활	경제 행위 주체
소설02	명사	문화	문학
소설가	명사	문화	문화 활동 주체
소설책	명사	문화	문학
소속	명사	사회생활	사회 생활 상태
소송	명사	정치와 행정	사법 및 치안 행위
소수02	명사	개념	수
소스01	명사	식생활	음식
소시지	명사	식생활	음식
소식01	명사	식생활	식사 및 조리 행위
소식02	명사	사회생활	통신 행위
소심하다	형용사	인간	성격
소아	명사	인간	사람의 종류
소양	명사	인간	능력
소외	명사	사회생활	사회 생활 상태
소외감	명사	인간	감정
소유자	명사	인간	사람의 종류
소인01	명사	인간	사람의 종류
소장01	명사	인간	신체 내부 구성
소주	명사	식생활	음료
소중하다	형용사	인간	감정
소질	명사	인간	능력
소통	명사	사회생활	사회 활동
소파	명사	주생활	생활용품
소포	명사	사회생활	소통 수단
소풍	명사	삶	여가 활동
소형	명사	개념	모양
소형차	명사	사회생활	교통수단
소홀히	부사	인간	태도
소화	명사	인간	생리 현상
소화기01	명사	인간	신체 내부 구성
소화기02	명사	주생활	생활용품
소화제	명사	삶	약품류
속	명사	개념	위치 및 방향
속눈썹	명사	인간	신체 부위
속다	동사	사회생활	사회 활동
속담	명사	사회생활	말
속도	명사	개념	속도
속력	명사	개념	속도
속삭이다	동사	인간	신체 행위
속상하다	형용사	인간	감정
속설	명사	사회생활	언어 행위
속성02	명사	개념	성질
속셈	명사	인간	인지 행위
속어	명사	사회생활	말
속옷	명사	의생활	옷 종류
속이다	동사	사회생활	사회 활동
손01	명사	인간	신체 부위
손가락	명사	식생활	조리 도구
손가방	명사	의생활	모자, 신발, 장신구
손끝	명사	인간	신체 부위
손녀	명사	삶	친족 관계
손님	명사	경제생활	경제 행위 주체
손대다	동사	인간	신체 행위
손등	명사	인간	신체 부위
손목	명사	인간	신체 부위
손목시계	명사	의생활	모자, 신발, 장신구
손바닥	명사	인간	신체 부위
손발	명사	인간	신체 부위
손뼉	명사	인간	신체 행위
손수건	명사	의생활	모자, 신발, 장신구
손실	명사	경제생활	경제 상태
손아귀	명사	인간	신체 부위
손자	명사	삶	친족 관계
손짓	명사	인간	신체 행위
손톱	명사	인간	신체 부위
솔01	명사	주생활	생활용품
솔깃하다	형용사	인간	인지 행위
솔직하다	형용사	인간	성격
솜씨	명사	인간	능력
송금	명사	경제생활	경제 행위
송별회	명사	사회생활	사회 행사
송아지	명사	동식물	동물류
송이	명사	개념	세는 말
송편	명사	식생활	음식
솥	명사	식생활	조리 도구
쇠	명사	자연	자원
쇠고기	명사	식생활	식재료
쇠퇴	명사	삶	삶의 행위
쇼	명사	문화	문화 활동
쇼핑	명사	경제생활	경제 행위
쇼핑몰	명사	경제생활	경제 행위 장소
쇼핑센터	명사	경제생활	경제 행위 장소
수06	명사	개념	시간
수10	명사	개념	수
수강	명사	교육	교수 학습 행위
수건	명사	주생활	생활용품
수긍	명사	인간	인지 행위
수녀	명사	종교	종교인
수년	명사	개념	수
수다	명사	사회생활	언어 행위
수다스럽다	형용사	인간	태도
수단01	명사	인간	능력
수당	명사	경제생활	경제 수단
수도02	명사	개념	지역
수도권	명사	개념	지역
수동적01∙수동적02	관형사∙명사	인간	성격
수두룩하다	형용사	개념	수
수량	명사	개념	양
수려하다	형용사	인간	용모
수료	명사	교육	교수 학습 행위
수만02∙수만01	수사·관형사	개념	수
수많다	형용사	개념	양
수면01	명사	삶	일상 행위
수면02	명사	인간	생리 현상
수면제	명사	삶	약품류
수목	명사	동식물	식물류
수박	명사	식생활	과일
수발01	명사	사회생활	사회 활동
수백02∙수백01	수사·관형사	개념	수
수사01	명사	정치와 행정	사법 및 치안 행위
수사02	명사	정치와 행정	사법 및 치안 행위
수사관	명사	정치와 행정	사법 및 치안 주체
수산	명사	경제생활	경제 행위
수산물	명사	경제생활	경제 산물
수상03	명사	정치와 행정	정치 및 행정 주체
수석02	명사	교육	교수 학습 행위
수소문	명사	사회생활	통신 행위
수송	명사	사회생활	교통 이용 행위
수수료	명사	경제생활	경제 수단
수수하다	형용사	인간	용모
수술02	명사	삶	치료 행위
수신자	명사	사회생활	인간관계
수십02∙수십01	수사·관형사	개념	수
수업02	명사	교육	교수 학습 행위
수염	명사	인간	신체 부위
수영	명사	삶	여가 활동
수영복	명사	의생활	옷 종류
수영장	명사	의생활	옷 종류
수완	명사	인간	능력
수요일	명사	개념	시간
수용02	명사	사회생활	사회 활동
수용자00	명사	인간	사람의 종류
수익	명사	경제생활	경제 상태
수익금	명사	경제생활	경제 수단
수입01	명사	경제생활	경제 수단
수입02	명사	경제생활	경제 행위
수재민00	명사	인간	사람의 종류
수저	명사	식생활	조리 도구
수준	명사	개념	정도
수줍다	형용사	인간	성격
수줍음	명사	인간	성격
수증기	명사	자연	기상 및 기후
수지	명사	경제생활	경제 상태
수집02	명사	삶	여가 활동
수차례	명사	개념	수
수천02∙수천01	수사·관형사	개념	수
수첩	명사	교육	학습 관련 사물
수출	명사	경제생활	경제 행위
수치01	명사	인간	인지 행위
수치02	명사	개념	수
수칙	명사	사회생활	사회 활동
수컷	명사	동식물	동물류
수평선	명사	자연	지형
수표	명사	경제생활	경제 수단
수필	명사	문화	문학
수학01	명사	교육	교수 학습 행위
수학02	명사	교육	전공과 교과목
수학여행	명사	교육	교수 학습 행위
수해	명사	자연	재해
수행02	명사	사회생활	사회 활동
수험	명사	교육	교수 학습 행위
수험생	명사	교육	교수 학습 주체
수혈	명사	삶	치료 행위
수혜자	명사	인간	사람의 종류
수화기	명사	주생활	생활용품
숙녀	명사	인간	사람의 종류
숙맥	명사	인간	성격
숙면	명사	삶	일상 행위
숙박	명사	주생활	주거 행위
숙박비	명사	경제생활	경제 수단
숙제	명사	교육	교수 학습 행위
순간	명사	개념	시간
순간적01∙순간적02	관형사∙명사	개념	시간
순대	명사	식생활	음식
순두부찌개	명사	식생활	음식
순발력	명사	인간	능력
순서	명사	개념	순서
순서	명사	개념	순서
순수성00	명사	인간	태도
순수하다	형용사	인간	성격
순식간	명사	개념	시간
순위	명사	개념	순서
순진	명사	인간	성격
순하다	형용사	인간	성격
숟가락	명사	식생활	조리 도구
숟가락	명사	개념	세는 말
술01	명사	식생활	음료
술병02	명사	식생활	조리 도구
술자리	명사	식생활	식생활 관련 장소
술잔	명사	식생활	조리 도구
술집	명사	식생활	식생활 관련 장소
숨	명사	인간	생리 현상
숨소리	명사	인간	생리 현상
숨죽이다	동사	인간	태도
숨지다	동사	삶	삶의 행위
숫자	명사	개념	수
숭늉	명사	식생활	음료
숭배	명사	인간	인지 행위
숲	명사	자연	지형
쉬다02	동사	삶	병과 증상
쉬다03	동사	삶	여가 활동
쉬다04	동사	인간	신체 행위
쉰02·쉰01	수사·관형사	개념	수
쉽다	형용사	인간	능력
슈퍼	명사	경제생활	경제 행위 장소
슈퍼마켓	명사	경제생활	경제 행위 장소
스님	명사	종교	종교인
스무	관형사	개념	수
스무째00	수사·관형사/명사	개념	순서
스물	수사	개념	수
스승	명사	교육	교수 학습 주체
스웨터	명사	의생활	옷 종류
스위치	명사	주생활	생활용품
스카프	명사	의생활	모자, 신발, 장신구
스커트	명사	의생활	옷 종류
스케이트	명사	삶	여가 도구
스케이트	명사	삶	여가 활동
스키	명사	삶	여가 도구
스키	명사	삶	여가 활동
스키장	명사	삶	여가 시설
스타킹	명사	의생활	옷 종류
스탠드	명사	주생활	생활용품
스터디00	명사	교육	교수 학습 행위
스토리	명사	사회생활	언어 행위
스튜디오	명사	문화	문화생활 장소
스파게티	명사	식생활	음식
스포츠	명사	삶	여가 활동
슬그머니	부사	인간	태도
슬기롭다	형용사	인간	성격
슬리퍼	명사	의생활	모자, 신발, 장신구
슬며시	부사	인간	태도
슬퍼하다	동사	인간	감정
슬프다	형용사	인간	감정
슬픔	명사	인간	감정
습관	명사	삶	일상 행위
습기	명사	자연	기상 및 기후
습도	명사	자연	기상 및 기후
습득	명사	교육	교수 학습 행위
습하다	형용사	자연	기상 및 기후
승03/승04	명사/의존명사	삶	여가 활동
승강기	명사	사회생활	교통수단
승강장	명사	사회생활	교통 이용 장소
승낙	명사	사회생활	사회 활동
승려	명사	종교	종교인
승리	명사	사회생활	사회 활동
승마	명사	삶	여가 활동
승무원	명사	사회생활	직업
승부	명사	삶	여가 활동
승승장구	명사	사회생활	사회 생활 상태
승용차	명사	사회생활	교통수단
승인	명사	사회생활	사회 활동
승자	명사	사회생활	인간관계
승진	명사	사회생활	직장 생활
승차	명사	사회생활	교통 이용 행위
승합차	명사	사회생활	교통수단
-시	접사	인간	태도
시01	명사	개념	지역
시02/시03	명사/의존명사	개념	세는 말
시04	명사	문화	문학
시각01	명사	개념	시간
시각03	명사	인간	감각
시각적01∙시각적02	관형사∙명사	인간	감각
시간01/시간02	명사/의존명사	개념	세는 말
시간대	명사	개념	시간
시간적01∙시간적02	관형사∙명사	개념	시간
시간표	명사	교육	교수 학습 행위
시계01	명사	주생활	생활용품
시골	명사	개념	지역
시골	명사	개념	지역
시금치	명사	식생활	채소
시급히	부사	인간	태도
시기01	명사	개념	시간
시기02	명사	개념	시간
시기상조	명사	개념	시간
시끄럽다	형용사	주생활	주거 상태
시나리오	명사	문화	대중문화
시내02	명사	주생활	주거 지역
시내버스	명사	사회생활	교통수단
시냇물	명사	자연	자원
시다	형용사	식생활	맛
시대	명사	개념	시간
시대적01∙시대적02	관형사∙명사	개념	시간
시력	명사	인간	체력 상태
시련	명사	삶	삶의 상태
시름	명사	인간	인지 행위
시리다	형용사	삶	병과 증상
시립	명사	사회생활	사회 생활 상태
시무룩하다	형용사	인간	태도
시민	명사	정치와 행정	정치 및 행정 주체
시부모	명사	삶	친족 관계
시비01	명사	사회생활	사회 활동
시사회	명사	문화	문화생활 장소
시상식	명사	사회생활	사회 행사
시설	명사	주생활	주택 구성
시속	명사	개념	속도
시시각각	명사	개념	시간
시아버지	명사	삶	친족 관계
시어머니	명사	삶	친족 관계
시외	명사	주생활	주거 지역
시외버스	명사	사회생활	교통수단
시원섭섭하다	형용사	인간	감정
시원시원하다	형용사	인간	태도
시원하다	형용사	자연	기상 및 기후
시원하다	형용사	식생활	맛
시원하다	형용사	인간	감정
시월	명사	개념	수
시위02	명사	사회생활	사회 활동
시인01	명사	인간	인지 행위
시인02	명사	문화	문화 활동 주체
시일	명사	개념	시간
시작01	명사	개념	순서
시장01	명사	정치와 행정	정치 및 행정 주체
시장02	명사	경제생활	경제 행위 장소
시절	명사	개념	시간
시점02	명사	개념	시간
시중01	명사	사회생활	사회 활동
시중02	명사	경제생활	경제 행위 장소
시즌	명사	개념	시간
시집02	명사	문화	문학
시집가다	동사	삶	가족 행사
시청01	명사	정치와 행정	공공 기관
시청02	명사	문화	문화 활동
시청각	명사	인간	감각
시청률	명사	문화	문화 활동
시청자	명사	문화	문화 활동 주체
시치미	명사	사회생활	언어 행위
시커멓다	형용사	개념	색깔
시키다	동사	식생활	식사 및 조리 행위
시합	명사	사회생활	사회 활동
시행01	명사	정치와 행정	사법 및 치안 행위
시행착오	명사	삶	삶의 행위
시험	명사	교육	교수 학습 행위
시험지	명사	교육	학습 관련 사물
-식	접사	개념	모양
식01/식02	명사/의존명사	사회생활	사회 행사
식구	명사	삶	친족 관계
식기	명사	식생활	조리 도구
식단	명사	식생활	식사 및 조리 행위
식당	명사	식생활	식생활 관련 장소
식당가	명사	경제생활	경제 행위 장소
식량	명사	식생활	식재료
식량난00	명사	경제생활	경제 상태
식료품	명사	식생활	식재료
식물	명사	동식물	식물류
식민지	명사	정치와 행정	정치 및 치안 상태
식비	명사	경제생활	경제 수단
식빵	명사	식생활	음식
식사	명사	식생활	식사 및 조리 행위
식사량	명사	식생활	식사 및 조리 행위
식수	명사	식생활	음료
식욕	명사	인간	감각
식용유	명사	식생활	식재료
식은땀	명사	인간	생리 현상
식중독	명사	삶	병과 증상
식초	명사	식생활	식재료
식탁	명사	주생활	생활용품
식품	명사	식생활	식재료
식품점	명사	경제생활	경제 행위 장소
식후	명사	개념	시간
신01	명사	의생활	모자, 신발, 장신구
신나다	동사	인간	감정
신03	명사	종교	신앙 대상
신경	명사	인간	감각
신경질	명사	인간	감정
신경통	명사	삶	병과 증상
신고	명사	정치와 행정	사법 및 치안 행위
신기록	명사	삶	여가 활동
신다	동사	의생활	의복 착용 행위
신도시	명사	개념	지역
신랑	명사	삶	가족 행사
신맛	명사	식생활	맛
신문사	명사	사회생활	직장
신명	명사	인간	감정
신문02	명사	사회생활	매체
신문지	명사	사회생활	매체
신부01	명사	종교	종교인
신물	명사	인간	감정
신바람	명사	인간	태도
신발	명사	의생활	모자, 신발, 장신구
신부02	명사	삶	가족 행사
신사	명사	인간	사람의 종류
신세01	명사	사회생활	사회 활동
신속히	부사	인간	태도
신앙	명사	종교	종교 행위
신약00	명사	삶	치료 행위
신음	명사	인간	소리
신의	명사	인간	인지 행위
신임01	명사	인간	인지 행위
신입	명사	사회생활	직장 생활
신입생	명사	교육	교수 학습 주체
신자	명사	종교	종교인
신장03	명사	인간	신체 내부 구성
신중	명사	인간	태도
신중히	부사	인간	태도
신진대사	명사	인간	신체 행위
신청	명사	사회생활	사회 활동
신체	명사	인간	신체 부위
신하	명사	정치와 행정	정치 및 행정 주체
신호	명사	사회생활	통신 행위
신호등	명사	사회생활	교통 이용 행위
신혼	명사	삶	삶의 상태
신혼부부	명사	삶	삶의 상태
신혼여행	명사	삶	여가 활동
신화	명사	문화	전통문화
-실	접사	주생활	주택 구성
실04	의존명사	주생활	주택 구성
실감	명사	인간	인지 행위
실내	명사	개념	위치 및 방향
실력	명사	인간	능력
실례01	명사	사회생활	사회 활동
실망	명사	인간	감정
실망스럽다	형용사	인간	감정
실무	명사	사회생활	직장 생활
실수	명사	삶	삶의 행위
실수	명사	삶	삶의 행위
실습	명사	교육	교수 학습 행위
실시간	명사	개념	시간
실업01	명사	사회생활	직장 생활
실업계	명사	교육	전공과 교과목
실업률	명사	경제생활	경제 상태
실업자	명사	경제생활	경제 행위 주체
실외	명사	개념	위치 및 방향
실장	명사	사회생활	직위
실적	명사	경제생활	경제 상태
실직	명사	사회생활	직장 생활
실크	명사	의생활	옷감
실패02	명사	삶	삶의 행위
실험	명사	교육	교수 학습 행위
싫다	형용사	인간	감정
싫어하다	동사	인간	감정
싫증	명사	인간	감정
심각하다	형용사	인간	태도
심경	명사	인간	감정
심리	명사	인간	감정
심리적01∙심리적02	관형사∙명사	인간	감정
심부름	명사	주생활	가사 행위
심사02	명사	교육	교수 학습 행위
심사숙고	명사	인간	인지 행위
심성	명사	인간	성격
심술궂다	형용사	인간	태도
심신	명사	인간	신체 부위
심야	명사	개념	시간
심장	명사	인간	신체 내부 구성
심정	명사	인간	감정
심판	명사	사회생활	직업
심하다	형용사	개념	정도
심화	명사	개념	정도
십01/십02	수사/관형사	개념	수
십만02/십만01	수사/관형사	개념	수
십이월	명사	개념	시간
십일월	명사	개념	시간
십자가	명사	종교	종교 활동 도구
싱겁다	형용사	식생활	맛
싸다00	형용사	인간	태도
싸다02	동사	인간	신체 행위
싸다03	형용사	경제생활	경제 상태
싸우다	동사	사회생활	사회 활동
싸움	명사	사회생활	사회 활동
싹01	명사	동식물	식물의 부분
싹트다	동사	동식물	동식물 행위
싼값	명사	경제생활	경제 수단
쌀	명사	식생활	곡류
쌀쌀하다	형용사	자연	기상 및 기후
쌍	명사	개념	세는 말
쌍꺼풀	명사	인간	신체 부위
쌍둥이	명사	인간	사람의 종류
썩	부사	개념	정도
썰다	동사	식생활	식사 및 조리 행위
썰렁하다	형용사	자연	기상 및 기후
썰매	명사	삶	여가 도구
쏘아보다	동사	인간	신체 행위
쏜살같이	부사	개념	속도
쑤시다01	동사	삶	병과 증상
쑤시다02	동사	인간	신체에 가하는 행위
쑥스럽다	형용사	인간	태도
쓰기	명사	교육	교수 학습 행위
쓰다01	동사	사회생활	언어 행위
쓰다01	동사	사회생활	언어 행위
쓰다02	동사	의생활	의복 착용 행위
쓰다04	형용사	식생활	맛
쓰다듬다	동사	인간	신체에 가하는 행위
쓰러뜨리다	동사	인간	신체에 가하는 행위
쓰레기	명사	주생활	가사 행위
쓰레기통	명사	주생활	생활용품
쓰리다	형용사	삶	병과 증상
쓴맛	명사	식생활	맛
쓸다	동사	주생활	가사 행위
쓸쓸하다	형용사	삶	삶의 상태
씀씀이	명사	인간	태도
씁쓸하다	형용사	인간	감정
씌우다	동사	의생활	의복 착용 행위
씨01	명사	동식물	식물의 부분
씨름	명사	삶	여가 활동
씨앗	명사	동식물	식물의 부분
씩씩거리다	동사	인간	신체 행위
씩씩하다	형용사	인간	태도
씹다	동사	식생활	식사 및 조리 행위
씻다	동사	삶	일상 행위
아가	명사	인간	사람의 종류
아가씨	명사	인간	사람의 종류
아기	명사	인간	사람의 종류
아기자기하다	형용사	개념	모양
아까02/아까01	부사/명사	개념	시간
아깝다	형용사	인간	감정
아낌없다	형용사	인간	태도
아낌없이	부사	인간	태도
아나운서	명사	사회생활	직업
아내	명사	삶	친족 관계
아동	명사	인간	사람의 종류
아드님	명사	삶	친족 관계
아들	명사	삶	친족 관계
아랑곳없이	부사	인간	태도
아래	명사	개념	위치 및 방향
아래층	명사	개념	위치 및 방향
아랫사람	명사	사회생활	인간관계
아랫집	명사	개념	위치 및 방향
아르바이트	명사	경제생활	경제 행위
아름답다	형용사	인간	용모
아무02/아무01	관형사/대명사	개념	의문
아무개	대명사	개념	인칭
아무것	명사	개념	의문
아무것	명사	개념	의문
아무렇다	형용사	인간	감정
아버지	명사	삶	친족 관계
아부	명사	인간	태도
아비	명사	삶	친족 관계
아빠	명사	삶	친족 관계
아쉬움	명사	인간	감정
아쉽다	명사	인간	감정
아시아	명사	개념	지역
아열대	명사	개념	지역
아이01	명사	인간	사람의 종류
아이01	명사	인간	사람의 종류
아이01	명사	인간	사람의 종류
아이고	감탄사	인간	감정
아이디	명사	사회생활	소통 수단
아이스크림	명사	식생활	음식
아장아장	부사	개념	모양
아저씨	명사	인간	사람의 종류
아주01	부사	개념	정도
아주머니	명사	인간	사람의 종류
아줌마	명사	인간	사람의 종류
아직	부사	개념	시간
아찔하다	형용사	인간	감정
아침	명사	개념	시간
아침	명사	식생활	식사 및 조리 행위
아침밥	명사	식생활	음식
아침저녁00	명사	개념	시간
아파트	명사	주생활	건물 종류
아프다	형용사	인간	감각
아프리카	명사	개념	지역
아픔	명사	삶	병과 증상
아픔	명사	인간	감정
아하	감탄사	인간	감정
아홉02/아홉01	수사/관형사	개념	수
아홉째02∙아홉째01/아홉째03	수사.관형사/명사	개념	순서
아흐레	명사	개념	시간
아흔02/아흔01	수사/관형사	개념	수
악기	명사	삶	여가 도구
악마	명사	종교	신앙 대상
악수	명사	사회생활	사회 활동
악의	명사	인간	인지 행위
악하다	형용사	인간	성격
안01	명사	개념	위치 및 방향
안간힘	명사	인간	체력 상태
안개	명사	자연	기상 및 기후
안건	명사	사회생활	언어 행위
안경	명사	의생활	모자, 신발, 장신구
안과	명사	삶	치료 시설
안내	명사	사회생활	사회 활동
안내	명사	사회생활	사회 활동
안내문	명사	사회생활	소통 수단
안내소	명사	사회생활	사회 활동
안내원	명사	사회생활	직업
안녕02	감탄사	삶	삶의 상태
안다	동사	인간	신체 행위
안달	명사	인간	감정
안도	명사	인간	감정
안되다01	동사	인간	감정
안락	명사	삶	삶의 상태
안목	명사	인간	능력
안방	명사	주생활	주택 구성
안부	명사	사회생활	사회 활동
안색	명사	인간	용모
안심02	명사	인간	감정
안쓰럽다	형용사	인간	감정
안약	명사	삶	약품류
안이하다	형용사	인간	태도
안일	명사	인간	태도
안전01	명사	사회생활	교통 이용 행위
안전띠	명사	사회생활	교통 이용 행위
안전벨트	명사	사회생활	교통수단
안절부절	부사	인간	태도
안정01	명사	인간	감정
안정감	명사	인간	감정
안정적01∙안정적02	관형사∙명사	삶	삶의 상태
안주01	명사	삶	삶의 상태
안주02	명사	식생활	음식
안쪽	명사	개념	위치 및 방향
안타까워하다	동사	인간	감정
안타깝다	형용사	인간	감정
안팎	명사	개념	위치 및 방향
앉다	동사	인간	신체 행위
알다	동사	인간	인지 행위
알뜰	명사	인간	성격
알레르기	명사	삶	병과 증상
알리다	동사	인간	인지 행위
알맞다	형용사	개념	정도
알몸	명사	인간	신체 부위
알선	명사	사회생활	사회 활동
알아내다	동사	인간	인지 행위
알아듣다	동사	인간	인지 행위
알아주다	동사	인간	인지 행위
알아차리다	동사	인간	인지 행위
알아채다	동사	인간	인지 행위
알칼리성	명사	개념	성질
앓다	동사	삶	병과 증상
암02	명사	삶	병과 증상
암기	명사	교육	교수 학습 행위
암기력00	명사	인간	능력
암벽	명사	자연	지형
암컷	명사	동식물	동물류
암호	명사	사회생활	소통 수단
암흑기	명사	개념	시간
압박감	명사	인간	감정
앗	감탄사	인간	감정
앞	명사	개념	위치 및 방향
앞길	명사	사회생활	교통 이용 장소
앞길	명사	사회생활	교통 이용 장소
앞날	명사	개념	시간
앞다투다	동사	사회생활	사회 활동
앞뒤	명사	개념	위치 및 방향
앞머리	명사	인간	신체 부위
앞서다	동사	개념	순서
앞세우다	동사	개념	순서
앞장	명사	개념	순서
앞장서다	동사	개념	순서
앞지르다	동사	개념	순서
앞집	명사	주생활	주거 지역
애01	명사	인간	감정
애01	명사	인간	감정
애02	명사	인간	사람의 종류
애02	명사	인간	사람의 종류
애02	명사	인간	사람의 종류
애교	명사	인간	인지 행위
애국	명사	정치와 행정	정치 및 행정 행위
애기	명사	인간	사람의 종류
애니메이션	명사	문화	대중문화
애쓰다	동사	인간	태도
애완견	명사	동식물	동물류
애완동물	명사	동식물	동물류
애인	명사	사회생활	인간관계
애정	명사	인간	감정
애창곡	명사	문화	대중문화
애초01	명사	개념	시간
애칭	명사	사회생활	언어 행위
애타다	동사	인간	감정
애틋하다	형용사	인간	감정
-액	접사	경제생활	경제 수단
액세서리	명사	의생활	모자, 신발, 장신구
액수	명사	경제생활	경제 수단
액자	명사	주생활	생활용품
액체	명사	개념	모양
야간	명사	개념	시간
야광	명사	개념	밝기
야구	명사	삶	여가 활동
야근	명사	사회생활	직장 생활
야단	명사	사회생활	언어 행위
야단맞다	동사	사회생활	언어 행위
야단치다	동사	사회생활	언어 행위
야당	명사	정치와 행정	정치 및 행정 주체
야무지다	형용사	인간	성격
야옹	부사	동식물	동물 소리
야외	명사	개념	위치 및 방향
야유회	명사	삶	여가 활동
야채	명사	식생활	채소
야하다	형용사	인간	태도
약03	명사	삶	약품류
약간02/약간01	부사/명사	개념	정도
약국	명사	삶	치료 시설
약물	명사	삶	치료 행위
약사	명사	사회생활	직업
약세00	명사	경제생활	경제 상태
약소하다00	형용사	개념	정도
약속	명사	사회생활	사회 활동
약자01	명사	인간	사람의 종류
약품	명사	삶	치료 행위
약품	명사	삶	약품류
약하다	형용사	인간	체력 상태
약혼	명사	삶	가족 행사
약혼녀	명사	삶	가족 행사
약혼자	명사	삶	가족 행사
약화	명사	개념	정도
약효	명사	삶	치료 행위
얄밉다	형용사	인간	성격
얇다	형용사	개념	모양
얌전	명사	인간	태도
얌체	명사	인간	태도
양02	명사	동식물	동물류
양06	명사	개념	양
양국	명사	정치와 행정	정치 및 행정 주체
양념	명사	식생활	식재료
양력	명사	개념	시간
양말	명사	의생활	모자, 신발, 장신구
양반	명사	사회생활	직위
양배추	명사	식생활	채소
양보	명사	사회생활	사회 활동
양복	명사	의생활	옷 종류
양산01	명사	의생활	모자, 신발, 장신구
양성03	명사	교육	교수 학습 행위
양손	명사	인간	신체 부위
양식01	명사	인간	인지 행위
양식03	명사	식생활	음식
양식06	명사	식생활	곡류
양식집	명사	식생활	식생활 관련 장소
양심	명사	인간	감정
양옆	명사	개념	위치 및 방향
양육	명사	삶	삶의 행위
양질	명사	개념	성질
양쪽	명사	개념	위치 및 방향
양초	명사	주생활	생활용품
양치	명사	삶	일상 행위
양치질	명사	삶	일상 행위
양파	명사	식생활	채소
양해	명사	사회생활	언어 행위
얕다	형용사	개념	모양
얕보다	동사	인간	태도
얘03	줄어든 말	개념	인칭
얘기	명사	사회생활	언어 행위
얘기	명사	사회생활	언어 행위
어간	명사	교육	학문 용어
어금니	명사	인간	신체 부위
어김없이	부사	인간	태도
어깨	명사	인간	신체 부위
어느	관형사	개념	의문
어느덧	부사	개념	시간
어느새	부사	개념	시간
어둑어둑	부사	개념	밝기
어둑어둑하다	형용사	개념	밝기
어둠	명사	개념	밝기
어둡다	형용사	개념	밝기
어둡다	형용사	개념	밝기
어디01	대명사	개념	의문
어떠하다	형용사	개념	의문
어떤	관형사	개념	의문
어떤	관형사	개념	의문
어떻다	형용사	개념	의문
어려움	명사	인간	감정
어려워하다	동사	인간	태도
어렴풋이	부사	개념	밝기
어렵다	형용사	인간	능력
어루만지다	동사	인간	신체에 가하는 행위
어르신	명사	사회생활	인간관계
어른	명사	인간	사람의 종류
어른	명사	인간	사람의 종류
어리다02	형용사	인간	용모
어리둥절하다	형용사	인간	감정
어리석다	형용사	인간	능력
어린아이	명사	인간	사람의 종류
어린애	명사	인간	사람의 종류
어린이	명사	인간	사람의 종류
어린이집	명사	교육	교육 기관
어마어마하다	형용사	개념	정도
어머	감탄사	인간	감정
어머니	명사	삶	친족 관계
어머님	명사	삶	친족 관계
어미01	명사	삶	친족 관계
어미02	명사	교육	학문 용어
어민	명사	경제생활	경제 행위 주체
어색하다	형용사	인간	태도
어서	부사	개념	시간
어설프다	형용사	인간	태도
어업	명사	사회생활	직업
어우러지다	동사	사회생활	사회 생활 상태
어이없다	형용사	인간	감정
어저께02/어저께01	부사/명사	개념	시간
어제02/어제01	부사/명사	개념	시간
어젯밤	명사	개념	시간
어조	명사	사회생활	언어 행위
어지럽다	형용사	인간	감각
어지르다	동사	주생활	주거 상태
어처구니없다	형용사	인간	감정
-어치	접사	개념	정도
어투	명사	사회생활	언어 행위
어학	명사	교육	전공과 교과목
어휘	명사	사회생활	말
억03/억02	수사/관형사	개념	수
억세다	형용사	개념	성질
억수	명사	자연	기상 및 기후
억양	명사	사회생활	말
억울하다	형용사	인간	감정
억지	명사	인간	태도
억지로	부사	인간	태도
언급	명사	사회생활	언어 행위
언니	명사	삶	친족 관계
언덕	명사	자연	지형
언론	명사	사회생활	매체
언론사	명사	사회생활	직장
언론인	명사	사회생활	직업
언어	명사	사회생활	소통 수단
언제01/언제02	대명사/부사	개념	의문
언제나	부사	개념	시간
언젠가	부사	개념	시간
언짢다	형용사	인간	감정
언행	명사	사회생활	언어 행위
얻다	동사	사회생활	사회 활동
얻어맞다	동사	인간	신체에 가하는 행위
얼	명사	인간	감각
얼굴	명사	인간	신체 부위
얼른	부사	인간	태도
얼마	명사	개념	의문
얼마간	명사	개념	시간
얼마나	부사	개념	양
얼마나	부사	개념	양
얼버무리다	동사	사회생활	언어 행위
얼음	명사	식생활	식재료
얽매이다	동사	사회생활	사회 생활 상태
얽히다	동사	사회생활	사회 생활 상태
엄격	명사	인간	태도
엄격히	부사	인간	태도
엄두	명사	인간	인지 행위
엄마	명사	삶	친족 관계
엄살	명사	인간	태도
엄숙하다	형용사	인간	태도
엄지	명사	인간	신체 부위
엄지손가락	명사	인간	신체 부위
엄청	부사	개념	정도
엄청나다	형용사	개념	정도
엄하다	형용사	인간	태도
-업	접사	사회생활	직업
업계	명사	경제생활	경제 행위 장소
업다	동사	인간	신체 행위
업무	명사	사회생활	직장 생활
